cte,steering,p_err,i_err,d_err
0.7598,-0.07598,0.7598,0.7598,0.7598
0.7598,-0.07598,0.7598,1.5196,0
0.7598,-0.07598,0.7598,2.2794,0.7598
0.7599,-0.07599,0.7599,3.0393,0.0001
0.7598,-0.07598,0.7598,3.7991,0.7597
0.7595,-0.07595,0.7595,4.5586,-0.0002
0.7592,-0.07592,0.7592,5.3178,0.7594
0.7589,-0.07589,0.7589,6.0767,-0.0005
0.7583,-0.07583,0.7583,6.835,0.7588
0.7577,-0.07577,0.7577,7.5927,-0.0011
0.7569,-0.07569,0.7569,8.3496,0.758
0.7561,-0.07561,0.7561,9.1057,-0.0019
0.7553,-0.07553,0.7553,9.861,0.7572
0.7542,-0.07542,0.7542,10.6152,-0.003
0.7533,-0.07533,0.7533,11.3685,0.7563
0.7519,-0.07519,0.7519,12.1204,-0.0044
0.7503,-0.07503,0.7503,12.8707,0.7547
0.748,-0.0748,0.748,13.6187,-0.0067
0.7458,-0.07458,0.7458,14.3645,0.7525
0.7427,-0.07427,0.7427,15.1072,-0.0098
0.7398,-0.07398,0.7398,15.847,0.7496
0.7357,-0.07357,0.7357,16.5827,-0.0139
0.7309,-0.07309,0.7309,17.3136,0.7448
0.7242,-0.07242,0.7242,18.0378,-0.0206
0.7179,-0.07179,0.7179,18.7557,0.7385
0.7122,-0.07122,0.7122,19.4679,-0.0263
0.7044,-0.07044,0.7044,20.1723,0.7307
0.6957,-0.06957,0.6957,20.868,-0.035
0.6861,-0.06861,0.6861,21.5541,0.7211
0.6777,-0.06777,0.6777,22.2318,-0.0434
0.6686,-0.06686,0.6686,22.9004,0.712
0.6563,-0.06563,0.6563,23.5567,-0.0557
0.6429,-0.06429,0.6429,24.1996,0.6986
0.6288,-0.06288,0.6288,24.8284,-0.0698
0.6212,-0.06212,0.6212,25.4496,0.691
0.622,-0.0622,0.622,26.0716,-0.069
0.6087,-0.06087,0.6087,26.6803,0.6777
0.5997,-0.05997,0.5997,27.28,-0.078
0.5989,-0.05989,0.5989,27.8789,0.6769
0.5973,-0.05973,0.5973,28.4762,-0.0796
0.5953,-0.05953,0.5953,29.0715,0.6749
0.592,-0.0592,0.592,29.6635,-0.0829
0.5884,-0.05884,0.5884,30.2519,0.6713
0.5829,-0.05829,0.5829,30.8348,-0.0884
0.5762,-0.05762,0.5762,31.411,0.6646
0.5698,-0.05698,0.5698,31.9808,-0.0948
0.5606,-0.05606,0.5606,32.5414,0.6554
0.55,-0.055,0.55,33.0914,-0.1054
0.5378,-0.05378,0.5378,33.6292,0.6432
0.5269,-0.05269,0.5269,34.1561,-0.1163
0.512,-0.0512,0.512,34.6681,0.6283
0.4955,-0.04955,0.4955,35.1636,-0.1328
0.4774,-0.04774,0.4774,35.641,0.6102
0.4578,-0.04578,0.4578,36.0988,-0.1524
0.4411,-0.04411,0.4411,36.5399,0.5935
0.4233,-0.04233,0.4233,36.9632,-0.1702
0.4045,-0.04045,0.4045,37.3677,0.5747
0.3798,-0.03798,0.3798,37.7475,-0.1949
0.359,-0.0359,0.359,38.1065,0.5539
0.3373,-0.03373,0.3373,38.4438,-0.2166
0.3089,-0.03089,0.3089,38.7527,0.5255
0.2854,-0.02854,0.2854,39.0381,-0.2401
0.2551,-0.02551,0.2551,39.2932,0.4952
0.2302,-0.02302,0.2302,39.5234,-0.265
0.2048,-0.02048,0.2048,39.7282,0.4698
0.1788,-0.01788,0.1788,39.907,-0.291
0.1525,-0.01525,0.1525,40.0595,0.4435
0.1193,-0.01193,0.1193,40.1788,-0.3242
0.0926,-0.00926,0.0926,40.2714,0.4168
0.0659,-0.00659,0.0659,40.3373,-0.3509
0.0394,-0.00394,0.0394,40.3767,0.3903
0.0068,-0.00068,0.0068,40.3835,-0.3835
-0.0189,0.00189,-0.0189,40.3646,0.3646
-0.0502,0.00502,-0.0502,40.3144,-0.4148
-0.0683,0.00683,-0.0683,40.2461,0.3465
-0.0975,0.00975,-0.0975,40.1486,-0.444
-0.1249,0.01249,-0.1249,40.0237,0.3191
-0.1456,0.01456,-0.1456,39.8781,-0.4647
-0.1633,0.01633,-0.1633,39.7148,0.3014
-0.172,0.0172,-0.172,39.5428,-0.4734
-0.1688,0.01688,-0.1688,39.374,0.3046
-0.1505,0.01505,-0.1505,39.2235,-0.4551
-0.1259,0.01259,-0.1259,39.0976,0.3292
-0.0981,0.00981,-0.0981,38.9995,-0.4273
-0.0737,0.00737,-0.0737,38.9258,0.3536
-0.0475,0.00475,-0.0475,38.8783,-0.4011
-0.0122,0.00122,-0.0122,38.8661,0.3889
0.0177,-0.00177,0.0177,38.8838,-0.3712
0.0491,-0.00491,0.0491,38.9329,0.4203
0.09,-0.009,0.09,39.0229,-0.3303
0.1239,-0.01239,0.1239,39.1468,0.4542
0.1677,-0.01677,0.1677,39.3145,-0.2865
0.2122,-0.02122,0.2122,39.5267,0.4987
0.2574,-0.02574,0.2574,39.7841,-0.2413
0.3026,-0.03026,0.3026,40.0867,0.5439
0.3474,-0.03474,0.3474,40.4341,-0.1965
0.3912,-0.03912,0.3912,40.8253,0.5877
0.4169,-0.04169,0.4169,41.2422,-0.1708
0.4578,-0.04578,0.4578,41.7,0.6286
0.4964,-0.04964,0.4964,42.1964,-0.1322
0.5387,-0.05387,0.5387,42.7351,0.6709
0.5641,-0.05641,0.5641,43.2992,-0.1068
0.5922,-0.05922,0.5922,43.8914,0.699
0.6157,-0.06157,0.6157,44.5071,-0.0833
0.6342,-0.06342,0.6342,45.1413,0.7175
0.6472,-0.06472,0.6472,45.7885,-0.0703
0.6536,-0.06536,0.6536,46.4421,0.7239
0.6677,-0.06677,0.6677,47.1098,-0.0562
0.6886,-0.06886,0.6886,47.7984,0.7448
0.7238,-0.07238,0.7238,48.5222,-0.021
0.7534,-0.07534,0.7534,49.2756,0.7744
0.7757,-0.07757,0.7757,50.0513,0.0013
0.79,-0.079,0.79,50.8413,0.7887
0.7955,-0.07955,0.7955,51.6368,0.0068
0.7958,-0.07958,0.7958,52.4326,0.789
0.7891,-0.07891,0.7891,53.2217,0.0001
0.7771,-0.07771,0.7771,53.9988,0.777
0.7592,-0.07592,0.7592,54.758,-0.0178
0.7352,-0.07352,0.7352,55.4932,0.753
0.6968,-0.06968,0.6968,56.19,-0.0562
0.6595,-0.06595,0.6595,56.8495,0.7157
0.6167,-0.06167,0.6167,57.4662,-0.099
0.5424,-0.05424,0.5424,58.0086,0.6414
0.4865,-0.04865,0.4865,58.4951,-0.1549
0.4104,-0.04104,0.4104,58.9055,0.5653
0.328,-0.0328,0.328,59.2335,-0.2373
0.2584,-0.02584,0.2584,59.4919,0.4957
0.1492,-0.01492,0.1492,59.6411,-0.3465
0.0558,-0.00558,0.0558,59.6969,0.4023
-0.0196,0.00196,-0.0196,59.6773,-0.4219
-0.0669,0.00669,-0.0669,59.6104,0.355
-0.1072,0.01072,-0.1072,59.5032,-0.4622
-0.1374,0.01374,-0.1374,59.3658,0.3248
-0.1715,0.01715,-0.1715,59.1943,-0.4963
-0.1954,0.01954,-0.1954,58.9989,0.3009
-0.2206,0.02206,-0.2206,58.7783,-0.5215
-0.2364,0.02364,-0.2364,58.5419,0.2851
-0.2503,0.02503,-0.2503,58.2916,-0.5354
-0.2563,0.02563,-0.2563,58.0353,0.2791
-0.2571,0.02571,-0.2571,57.7782,-0.5362
-0.2521,0.02521,-0.2521,57.5261,0.2841
-0.242,0.0242,-0.242,57.2841,-0.5261
-0.2221,0.02221,-0.2221,57.062,0.304
-0.2003,0.02003,-0.2003,56.8617,-0.5043
-0.1733,0.01733,-0.1733,56.6884,0.331
-0.1327,0.01327,-0.1327,56.5557,-0.4637
-0.0949,0.00949,-0.0949,56.4608,0.3688
-0.0414,0.00414,-0.0414,56.4194,-0.4102
0.0311,-0.00311,0.0311,56.4505,0.4413
0.0911,-0.00911,0.0911,56.5416,-0.3502
0.1931,-0.01931,0.1931,56.7347,0.5433
0.3195,-0.03195,0.3195,57.0542,-0.2238
0.449,-0.0449,0.449,57.5032,0.6728
0.5783,-0.05783,0.5783,58.0815,-0.0945
0.705,-0.0705,0.705,58.7865,0.7995
0.8028,-0.08028,0.8028,59.5893,0.0033
0.8956,-0.08956,0.8956,60.4849,0.8923
0.9816,-0.09816,0.9816,61.4665,0.0893
1.0595,-0.10595,1.0595,62.526,0.9702
1.1434,-0.11434,1.1434,63.6694,0.1732
1.1982,-0.11982,1.1982,64.8676,1.025
1.2498,-0.12498,1.2498,66.1174,0.2248
1.2763,-0.12763,1.2763,67.3937,1.0515
1.2888,-0.12888,1.2888,68.6825,0.2373
1.2867,-0.12867,1.2867,69.9692,1.0494
1.2694,-0.12694,1.2694,71.2386,0.22
1.2259,-0.12259,1.2259,72.4645,1.0059
1.0655,-0.10655,1.0655,73.53,0.0596
0.9738,-0.09738,0.9738,74.5038,0.9142
0.8674,-0.08674,0.8674,75.3712,-0.0468
0.7349,-0.07349,0.7349,76.1061,0.7817
0.6528,-0.06528,0.6528,76.7589,-0.1289
0.5851,-0.05851,0.5851,77.344,0.714
0.5088,-0.05088,0.5088,77.8528,-0.2052
0.4023,-0.04023,0.4023,78.2551,0.6075
0.285,-0.0285,0.285,78.5401,-0.3225
0.159,-0.0159,0.159,78.6991,0.4815
0.0802,-0.00802,0.0802,78.7793,-0.4013
-0.054,0.0054,-0.054,78.7253,0.3473
-0.1625,0.01625,-0.1625,78.5628,-0.5098
-0.2972,0.02972,-0.2972,78.2656,0.2126
-0.428,0.0428,-0.428,77.8376,-0.6406
-0.552,0.0552,-0.552,77.2856,0.0886
-0.666,0.0666,-0.666,76.6196,-0.7546
-0.7477,0.07477,-0.7477,75.8719,0.0069
-0.8191,0.08191,-0.8191,75.0528,-0.826
-0.8782,0.08782,-0.8782,74.1746,-0.0522
-0.9282,0.09282,-0.9282,73.2464,-0.876
-0.9201,0.09201,-0.9201,72.3263,-0.0441
-0.8823,0.08823,-0.8823,71.444,-0.8382
-0.8182,0.08182,-0.8182,70.6258,0.02
-0.728,0.0728,-0.728,69.8978,-0.748
-0.612,0.0612,-0.612,69.2858,0.136
-0.5014,0.05014,-0.5014,68.7844,-0.6374
-0.3426,0.03426,-0.3426,68.4418,0.2948
-0.1629,0.01629,-0.1629,68.2789,-0.4577
0.0348,-0.00348,0.0348,68.3137,0.4925
0.247,-0.0247,0.247,68.5607,-0.2455
0.4244,-0.04244,0.4244,68.9851,0.6699
0.6054,-0.06054,0.6054,69.5905,-0.0645
0.7873,-0.07873,0.7873,70.3778,0.8518
1.0234,-0.10234,1.0234,71.4012,0.1716
1.2443,-0.12443,1.2443,72.6455,1.0727
1.4862,-0.14862,1.4862,74.1317,0.4135
1.7762,-0.17762,1.7762,75.9079,1.3627
1.9902,-0.19902,1.9902,77.8981,0.6275
2.2284,-0.22284,2.2284,80.1265,1.6009
2.3913,-0.23913,2.3913,82.5178,0.7904
2.5539,-0.25539,2.5539,85.0717,1.7635
2.6472,-0.26472,2.6472,87.7189,0.8837
2.7128,-0.27128,2.7128,90.4317,1.8291
2.7214,-0.27214,2.7214,93.1531,0.8923
2.6744,-0.26744,2.6744,95.8275,1.7821
2.5891,-0.25891,2.5891,98.4166,0.807
2.4224,-0.24224,2.4224,100.839,1.6154
2.2413,-0.22413,2.2413,103.08,0.6259
1.9576,-0.19576,1.9576,105.038,1.3317
1.6137,-0.16137,1.6137,106.652,0.282
1.2145,-0.12145,1.2145,107.866,0.9325
0.7673,-0.07673,0.7673,108.633,-0.1652
0.2807,-0.02807,0.2807,108.914,0.4459
-0.1304,0.01304,-0.1304,108.784,-0.5763
-0.5534,0.05534,-0.5534,108.23,0.0229
-1.0547,0.10547,-1.0547,107.176,-1.0776
-1.3831,0.13831,-1.3831,105.792,-0.3055
-1.692,0.1692,-1.692,104.1,-1.3865
-2.055,0.2055,-2.055,102.045,-0.6685
-2.3827,0.23827,-2.3827,99.6628,-1.7142
-2.6114,0.26114,-2.6114,97.0514,-0.8972
-2.8844,0.28844,-2.8844,94.167,-1.9872
-3.0379,0.30379,-3.0379,91.1291,-1.0507
-3.1061,0.31061,-3.1061,88.023,-2.0554
-3.1164,0.31164,-3.1164,84.9066,-1.061
-3.0393,0.30393,-3.0393,81.8673,-1.9783
-2.8699,0.28699,-2.8699,78.9974,-0.8916
-2.5915,0.25915,-2.5915,76.4059,-1.6999
-2.1852,0.21852,-2.1852,74.2207,-0.4853
-1.6984,0.16984,-1.6984,72.5223,-1.2131
-1.1388,0.11388,-1.1388,71.3835,0.0743
-0.5166,0.05166,-0.5166,70.8669,-0.5909
0.1565,-0.01565,0.1565,71.0234,0.7474
0.7223,-0.07223,0.7223,71.7457,-0.0251
1.4487,-0.14487,1.4487,73.1944,1.4738
2.1829,-0.21829,2.1829,75.3773,0.7091
2.7221,-0.27221,2.7221,78.0994,2.013
3.7556,-0.37556,3.7556,81.855,1.7426
4.1861,-0.41861,4.1861,86.0411,2.4435
4.7568,-0.47568,4.7568,90.7979,2.3133
5.6035,-0.56035,5.6035,96.4014,3.2902
6.1062,-0.61062,6.1062,102.508,2.816
6.6743,-0.66743,6.6743,109.182,3.8583
7.1121,-0.71121,7.1121,116.294,3.2538
7.565,-0.7565,7.565,123.859,4.3112
7.8361,-0.78361,7.8361,131.695,3.5249
8.0335,-0.80335,8.0335,139.729,4.5086
8.155,-0.8155,8.155,147.884,3.6464
8.0504,-0.80504,8.0504,155.934,4.404
7.8211,-0.78211,7.8211,163.755,3.4171
7.4969,-0.74969,7.4969,171.252,4.0798
7.1231,-0.71231,7.1231,178.375,3.0433
6.6374,-0.66374,6.6374,185.013,3.5941
6.142,-0.6142,6.142,191.155,2.5479
5.7417,-0.57417,5.7417,196.896,3.1938
5.2891,-0.52891,5.2891,202.185,2.0953
4.8286,-0.48286,4.8286,207.014,2.7333
4.16,-0.416,4.16,211.174,1.4267
3.5514,-0.35514,3.5514,214.725,2.1247
2.5815,-0.25815,2.5815,217.307,0.4568
1.893,-0.1893,1.893,219.2,1.4362
0.9613,-0.09613,0.9613,220.161,-0.4749
0.1808,-0.01808,0.1808,220.342,0.6557
-0.9598,0.09598,-0.9598,219.382,-1.6155
-1.9005,0.19005,-1.9005,217.482,-0.285
-2.8135,0.28135,-2.8135,214.668,-2.5285
-3.5771,0.35771,-3.5771,211.091,-1.0486
-4.4504,0.44504,-4.4504,206.641,-3.4018
-4.9464,0.49464,-4.9464,201.694,-1.5446
-5.7263,0.57263,-5.7263,195.968,-4.1817
-6.3229,0.63229,-6.3229,189.645,-2.1412
-7.0501,0.70501,-7.0501,182.595,-4.9089
-7.6096,0.76096,-7.6096,174.985,-2.7007
-8.1601,0.81601,-8.1601,166.825,-5.4594
-8.6925,0.86925,-8.6925,158.133,-3.2331
-9.8177,0.98177,-9.8177,148.315,-6.5846
-10.0449,1.00449,-10.0449,138.27,-3.4603
-10.4386,1.04386,-10.4386,127.831,-6.9783
-10.7884,1.07884,-10.7884,117.043,-3.8101
-10.9186,1.09186,-10.9186,106.124,-7.1085
-11.1939,1.11939,-11.1939,94.9306,-4.0854
-11.3693,1.13693,-11.3693,83.5613,-7.2839
-11.4591,1.14591,-11.4591,72.1022,-4.1752
-11.4388,1.14388,-11.4388,60.6634,-7.2636
-11.3338,1.13338,-11.3338,49.3296,-4.0702
-11.141,1.1141,-11.141,38.1886,-7.0708
-10.7861,1.07861,-10.7861,27.4025,-3.7153
-10.4111,1.04111,-10.4111,16.9914,-6.6958
-9.9982,0.99982,-9.9982,6.9932,-3.3024
-9.4373,0.94373,-9.4373,-2.4441,-6.1349
-8.8345,0.88345,-8.8345,-11.2786,-2.6996
-8.1453,0.81453,-8.1453,-19.4239,-5.4457
-8.2908,0.82908,-8.2908,-27.7147,-2.8451
-8.3049,0.83049,-8.3049,-36.0196,-5.4598
-8.2917,0.82917,-8.2917,-44.3113,-2.8319
-8.274,0.8274,-8.274,-52.5853,-5.4421
-8.2453,0.82453,-8.2453,-60.8306,-2.8032
-8.2317,0.82317,-8.2317,-69.0623,-5.4285
-8.2273,0.82273,-8.2273,-77.2896,-2.7988
-8.2277,0.82277,-8.2277,-85.5173,-5.4289
-8.2283,0.82283,-8.2283,-93.7456,-2.7994
-8.2287,0.82287,-8.2287,-101.974,-5.4293
-8.2287,0.82287,-8.2287,-110.203,-2.7994
-8.2285,0.82285,-8.2285,-118.431,-5.4291
